,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
13674,10.0,0.1,-5.1,99.9,-2.2,4,-5.113231022444888,0.0
21144,0.0,0.0,1.5,73.8,4.7,0,-2.6714937557437803,0.0
23867,0.0,0.0,-9.4,99.9,-4.8,0,-9.412757297866511,0.0
28082,0.0,0.0,-6.1,99.9,-1.7,4,-6.1131200833317365,0.0
9445,1.0,0.3,0.7,99.9,0.1,4,0.6861163208046666,0.0
4560,89.0,2.7,-11.9,55.6,-7.2,0,-19.000785110118574,0.0
17652,77.0,0.3,2.2,85.4,4.3,0,0.002620775029525295,0.0
15853,355.0,0.9,5.3,90.0,11.1,1,3.791383108618666,0.0
22873,88.0,1.9,-2.0,35.2,1.6,0,-15.384131730654365,0.0
19517,0.0,0.0,1.4,60.2,9.2,0,-5.48389772211038,0.0
24022,352.0,0.7,4.5,39.2,18.9,0,-8.216104442788264,0.0
19691,91.0,0.6,-0.7,85.0,3.1,0,-2.9092166528830994,0.0
7503,267.0,0.9,-6.3,43.5,0.4,0,-16.718563893566312,0.0
23926,0.0,0.0,-6.1,99.9,-3.7,0,-6.1131200833317365,0.0
13933,78.0,0.7,5.3,53.1,12.6,4,-3.4960809455653297,0.0
21290,14.0,0.3,2.4,70.0,5.2,4,-2.5184838049375284,0.0
2242,108.0,2.5,-1.2,20.6,13.6,0,-21.01639485937164,0.0
26154,167.0,0.7,4.0,36.8,19.6,0,-9.474023102216918,0.0
9387,245.0,0.4,1.5,99.9,1.6,4,1.4860250662185281,0.0
20437,140.0,0.5,-3.8,99.9,-1.6,4,-3.813375941507313,0.0
20894,0.0,0.0,4.7,53.7,12.4,0,-3.9043900578294175,0.0
6871,104.0,1.8,-4.0,39.4,8.4,0,-15.817659940133714,0.0
13556,0.0,0.0,-3.2,90.7,0.3,4,-4.504503968348602,0.0
21842,268.0,1.0,3.3,72.7,5.4,4,-1.1380268194901382,0.0
23344,94.0,2.3,2.4,26.7,21.9,0,-14.874411450600094,0.0
4822,99.0,2.8,-10.4,26.6,9.5,0,-26.01861885522357,0.0
16140,0.0,0.0,-1.0,99.9,0.5,4,-1.0136907556425692,0.0
11208,304.0,1.0,3.5,28.0,16.9,0,-13.339585753188958,0.0
14623,357.0,0.6,1.2,97.1,9.9,4,0.7906113155767122,0.0
21730,317.0,0.2,5.2,59.4,6.6,4,-2.078001511382989,0.0
26616,52.0,0.2,-6.5,85.7,-2.0,0,-8.499884384649281,0.0
15097,0.0,0.0,-7.3,99.9,-4.1,4,-7.312987572880893,0.0
25695,332.0,0.4,1.4,46.2,6.7,0,-8.92271741957591,0.0
6979,96.0,2.5,-4.6,33.7,2.3,0,-18.22025564437369,0.0
10064,2.0,0.4,-7.0,92.6,-3.9,0,-7.996372496462213,0.0
3233,355.0,0.3,-4.0,68.5,-0.4,0,-8.945465207356614,0.0
26260,74.0,2.0,7.6,22.6,27.7,0,-12.476113164300212,0.0
25835,241.0,0.3,-3.2,83.6,0.5,0,-5.5830398148405385,0.0
23279,130.0,0.7,0.7,36.0,8.4,0,-12.698856414756241,0.0
27678,222.0,0.9,12.6,17.3,31.3,0,-11.643200679028899,0.0
4508,325.0,1.2,-9.3,70.5,-3.9,0,-13.677711386510543,0.0
10440,28.0,0.4,2.5,31.2,15.2,0,-12.876517279450285,0.0
1933,4.0,0.6,0.9,72.4,-0.8,0,-3.5081970683569765,0.0
11170,329.0,0.5,4.3,28.2,20.0,0,-12.556969983537204,0.0
16809,0.0,0.0,-3.2,99.9,1.2,4,-3.2134430934374394,0.0
23371,18.0,1.2,3.7,26.9,25.9,0,-13.659638477490681,0.0
17117,264.0,0.5,-4.6,99.9,-2.4,4,-4.61328666713912,0.0
22501,210.0,0.2,-5.8,99.9,-2.4,0,-5.813153316027124,0.0
2372,318.0,0.7,-5.6,51.3,-1.7,0,-14.076742562367802,0.0
7783,309.0,1.1,-3.7,63.4,-2.1,0,-9.646434066562248,0.0
25021,338.0,0.2,0.7,69.1,6.3,0,-4.323663237654563,0.0
7106,89.0,1.2,-8.4,48.3,-5.9,0,-17.400527398620397,0.0
6854,100.0,1.0,-3.0,40.6,8.1,0,-14.54892571459318,0.0
23455,281.0,0.7,4.5,17.6,18.5,0,-18.097136837073236,0.0
11222,319.0,0.7,3.2,29.7,12.7,0,-12.872899160986927,0.0
13200,106.0,1.4,3.2,67.6,10.4,4,-2.2238015937889783,0.0
8261,254.0,1.9,-0.5,60.4,6.6,0,-7.235743012150923,0.0
11872,85.0,0.5,5.0,39.7,19.4,0,-7.602184541851402,0.0
1757,275.0,0.5,1.4,74.8,1.5,0,-2.586471741005617,0.0
13551,22.0,0.2,-3.0,90.1,0.5,4,-4.3950050795854105,0.0
18090,39.0,0.3,6.5,62.3,11.8,0,-0.19840928010999884,0.0
8627,88.0,1.0,-2.2,57.6,-3.5,0,-9.449562243466234,0.0
23881,1.0,0.2,-9.4,99.9,-5.0,0,-9.412757297866511,0.0
18933,20.0,0.3,-1.7,78.4,2.2,0,-4.966096648166336,0.0
7907,78.0,0.8,-9.3,99.9,-5.5,0,-9.3127682166399,0.0
10781,0.0,0.0,-6.3,98.1,-2.9,0,-6.550877828790702,0.0
23646,0.0,0.0,-6.1,85.7,-0.2,0,-8.106622935543339,0.0
20642,82.0,1.4,2.0,76.8,8.7,0,-1.6472665140866078,0.0
5220,0.0,0.0,-19.2,88.0,-12.6,0,-20.686315794082,0.0
13937,96.0,1.2,5.3,50.9,12.2,0,-4.0619176776401575,0.0
1197,4.0,0.2,-8.8,99.9,-5.4,4,-8.812822880562099,0.0
9531,67.0,0.4,-0.5,99.9,-1.4,4,-0.5137473577543362,0.0
9463,258.0,0.4,0.5,99.9,-0.2,4,0.486139087748028,0.0
14390,0.0,0.0,-5.8,99.9,-2.7,4,-5.813153316027124,0.0
4752,94.0,2.8,-12.4,25.8,4.8,0,-28.090288590247297,0.0
4997,0.0,1.0,-14.9,49.1,-8.3,0,-23.232720840093183,0.0
8528,26.0,0.3,0.9,76.4,-0.6,0,-2.785277742087991,0.0
3925,0.0,0.0,-6.0,99.9,-3.3,0,-6.0131311562265255,0.0
18040,96.0,1.9,9.3,49.8,17.0,0,-0.6601631455230749,0.0
