,wind_velocity_2h
2714,0.7
23926,1.3
22788,0.3
24078,0.4
26312,0.3
11218,0.4
20787,0.2
1046,0.0
481,0.02
4483,0.9
6000,0.4
17759,1.0
4011,0.3
12094,0.3
20048,0.5
14457,0.3
19871,0.8
20765,0.4
20602,1.0
1180,0.3
743,0.8
15053,0.3
6116,0.7
18317,0.0
11419,0.0
13473,0.4
16001,0.2
25065,0.0
7160,0.4
16249,0.3
4819,1.1
25390,1.9
13751,0.2
19653,0.0
13921,0.5
10183,1.3
21610,0.6
626,0.03
3361,0.0
8521,1.0
10272,0.8
24444,0.2
27197,0.2
12639,0.0
23134,0.5
25406,2.6
7097,0.6
23954,2.0
20628,1.0
6726,0.9
16799,0.3
3345,1.1
3792,0.5
10495,0.0
281,0.04
19438,0.4
19193,0.9
18575,0.4
23852,1.9
14997,0.3
23694,0.0
17434,0.2
2258,0.6
148,0.05
12673,0.3
21271,0.5
17970,0.5
12774,0.6
19611,0.0
1511,0.5
11514,0.0
10009,0.4
28400,0.0
28252,0.7
7109,0.0
8068,0.3
14779,0.3
9910,0.3
14734,0.3
9878,0.4
12467,0.8
2247,1.2
4485,2.5
4607,2.1
3231,0.2
2157,1.2
5822,0.9
19180,1.5
8248,1.3
3904,0.4
10124,0.4
1623,0.3
238,0.02
14224,0.0
15496,0.1
13289,0.0
20963,0.2
11471,0.0
5372,1.2
22563,1.5
23486,0.0
2515,0.4
11282,0.0
25631,0.3
3889,0.3
5001,0.3
27028,0.2
20466,0.6
16219,0.6
21430,0.0
18026,0.4
5918,0.5
21003,0.3
24657,0.7
22808,0.2
4602,2.2
23077,0.5
5778,0.2
25416,0.8
5177,0.2
7872,0.0
24722,0.2
7516,1.0
16575,0.3
24935,0.6
18792,0.3
22237,0.3
13636,0.0
20036,0.6
25409,2.6
23182,0.5
11875,0.5
22390,0.7
22430,0.4
25782,0.2
25859,0.0
8422,0.6
13175,1.4
24782,1.0
27270,0.3
28290,0.9
11829,0.9
20504,0.7
10395,0.5
4301,2.2
1720,1.7
11850,0.7
13292,0.0
12168,0.0
14851,0.7
3458,0.0
6231,0.0
16046,0.0
1808,0.9
5074,0.5
5234,0.1
12368,0.8
8454,1.4
12150,0.9
23284,0.6
5078,0.2
22655,1.7
2120,1.2
13645,0.0
9505,2.0
6668,0.7
16143,0.0
4615,2.0
