,air_temperature_2h
2714,-3.3
23926,8.5
22788,-5.0
24078,2.0
26312,-3.0
11218,-4.0
20787,3.2
1046,-8.3
481,9.27
4483,-12.6
6000,-7.1
17759,8.3
4011,4.8
12094,-7.4
20048,3.0
14457,-1.3
19871,3.7
20765,3.8
20602,9.0
1180,-9.6
743,3.3
15053,-6.5
6116,-5.0
18317,-3.8
11419,-8.9
13473,-4.1
16001,-0.8
25065,-0.8
7160,-11.9
16249,-2.5
4819,-12.1
25390,8.5
13751,-2.0
19653,-0.2
13921,7.5
10183,-1.7
21610,5.2
626,10.0
3361,1.5
8521,-2.2
10272,1.5
24444,-1.8
27197,-7.0
12639,-1.7
23134,1.9
25406,8.3
7097,-10.1
23954,8.1
20628,10.3
6726,-3.8
16799,-5.1
3345,1.9
3792,-4.0
10495,-2.8
281,9.68
19438,0.7
19193,6.6
18575,7.3
23852,6.2
14997,-7.1
23694,-9.6
17434,2.7
2258,-3.3
148,9.8
12673,-3.7
21271,6.3
17970,5.8
12774,-5.5
19611,-0.2
1511,3.7
11514,-10.3
10009,-8.3
28400,3.0
28252,7.5
7109,-10.9
8068,-11.6
14779,-3.0
9910,-6.0
14734,0.0
9878,-4.3
12467,6.8
2247,-3.0
4485,-12.6
4607,-12.9
3231,-0.2
2157,-0.4
5822,-11.2
19180,6.6
8248,2.5
3904,2.0
10124,-8.4
1623,1.4
238,9.68
14224,-4.3
15496,5.7
13289,3.2
20963,1.2
11471,-10.1
5372,-9.9
22563,4.8
23486,-7.1
2515,-11.2
11282,-5.3
25631,-2.3
3889,0.9
5001,-16.9
27028,-3.2
20466,-0.8
16219,-2.5
21430,4.8
18026,2.4
5918,-10.3
21003,1.5
24657,9.8
22808,-4.8
4602,-13.1
23077,-0.7
5778,-12.7
25416,7.5
5177,-19.3
7872,-10.1
24722,7.1
7516,-1.7
16575,-0.4
24935,-2.5
18792,-1.7
22237,-3.3
13636,-5.3
20036,3.7
25409,8.0
23182,3.0
11875,1.5
22390,-6.0
22430,-6.6
25782,-7.0
25859,-6.0
8422,0.0
13175,8.8
24782,4.2
27270,-6.6
28290,4.8
11829,4.3
20504,3.0
10395,2.2
4301,-3.8
1720,1.9
11850,2.9
13292,3.0
12168,-8.1
14851,-2.8
3458,-2.5
6231,-6.5
16046,-2.7
1808,0.7
5074,-17.3
5234,-19.3
12368,1.2
8454,0.4
12150,-7.8
23284,3.5
5078,-17.5
22655,4.7
2120,-0.8
13645,-5.5
9505,5.7
6668,-9.4
16143,-4.6
4615,-12.2
22646,4.0
19930,4.2
28022,5.8
6621,-15.5
5028,-17.0
17457,2.4
10606,-7.0
18856,-3.7
19292,8.1
3161,-3.0
5928,-10.3
26925,2.0
14896,-6.1
18606,5.2
2338,-5.6
8626,-4.5
12936,-7.4
20263,-5.0
17906,8.5
695,2.7
17333,3.0
19195,6.5
18189,1.0
15357,6.6
10823,-5.0
17176,6.3
3491,-2.7
824,-0.7
15513,5.5
7566,-0.8
13992,4.3
16181,-2.5
24719,7.5
13151,8.1
6614,-16.0
12961,-7.8
17861,8.8
23889,7.6
9775,-1.7
19683,-0.2
18830,-3.2
11831,4.2
11337,-7.3
1941,0.0
24737,5.8
5701,-13.4
20001,4.7
18336,-3.8
5443,-6.1
10770,-5.0
25412,7.8
23311,-0.7
732,2.9
27267,-7.0
21489,5.2
8196,0.4
26726,6.2
164,9.78
18816,-2.8
15546,3.5
17481,2.5
2122,-0.7
11605,-4.0
18524,6.2
1694,1.7
3835,-5.6
15160,3.5
16098,-3.8
16126,-4.3
16337,-0.8
1762,0.5
8372,0.4
5242,-18.5
596,9.8
12628,-2.2
9496,6.2
19572,-0.7
24521,5.0
8276,2.9
8141,-3.2
18455,4.7
7791,-8.1
21318,7.1
1048,-8.3
3299,1.4
22548,4.5
12493,5.8
24357,-5.0
19750,0.9
22768,-4.1
21043,1.4
10396,2.0
7617,-2.2
11790,4.7
17877,9.9
7329,-16.4
13732,-3.3
20073,1.2
28001,4.3
22063,2.9
21888,6.3
7332,-16.5
14374,-2.0
17257,5.2
15321,9.0
26562,-8.6
17685,5.0
15743,5.7
1492,4.5
21291,6.8
23367,-3.5
23645,-8.9
27841,-6.0
13320,1.4
21358,7.5
12300,-6.0
28337,3.2
14500,0.4
4198,-0.7
4749,-10.1
15266,9.8
17498,2.5
23687,-9.4
22739,-3.8
10574,-5.3
2589,-13.1
8053,-12.9
8499,-0.4
9453,3.8
14663,7.0
25653,-3.5
27362,4.2
24083,1.5
26815,9.9
19678,-0.4
10585,-6.1
24751,5.3
19099,3.2
1207,-9.6
5106,-18.5
24348,-4.8
7333,-16.5
23847,5.3
27997,3.3
22324,-5.6
26698,5.5
3680,-4.5
12305,-5.1
14497,0.0
558,9.37
4558,-13.7
2289,-5.6
12643,-2.3
22396,-6.0
11751,4.8
22143,0.2
13263,6.8
4269,-3.0
18752,-0.7
11079,4.0
14883,-5.6
792,2.0
15886,4.7
26796,9.9
27758,-4.1
4751,-10.4
4503,-13.2
24604,8.3
18393,1.7
14439,-1.7
22875,-8.1
21321,7.3
19065,-1.5
15550,3.3
18120,2.9
9480,5.3
11340,-7.4
25847,-7.6
19355,2.5
20862,-0.5
16952,-5.5
26977,-1.8
15462,6.2
26245,-1.7
14105,-2.0
28031,7.0
14876,-5.5
16179,-2.7
7678,-3.5
19141,5.8
5437,-7.1
787,2.2
20033,4.2
11190,-2.0
6012,-7.1
10372,2.7
1900,1.2
26425,-6.5
10504,-3.2
12004,-5.1
25443,5.0
9674,3.5
14390,-2.2
11677,2.4
21837,4.0
7291,-16.2
3514,-2.7
27781,-4.6
16807,-5.1
1658,2.2
13054,0.5
25239,6.3
6917,-6.1
11028,4.2
3043,-6.3
15012,-7.0
19431,0.7
2789,0.5
16987,-4.1
1054,-8.4
1277,-7.1
10249,0.9
27880,-6.5
28356,2.9
7111,-11.2
12923,-6.6
20723,7.1
14193,-3.7
2221,-1.7
21612,5.3
12072,-7.0
27195,-7.0
1540,2.0
22393,-6.0
19276,6.8
11201,-2.8
6138,-4.8
26949,0.2
22841,-7.3
18553,5.5
5290,-13.4
20199,-2.7
10264,1.2
3923,3.5
10090,-8.6
27598,4.3
9532,6.0
26100,6.8
19821,2.0
18756,-0.7
17340,2.9
7919,-11.7
28344,2.5
2527,-12.1
10677,-5.8
17610,2.2
23988,7.3
28081,10.3
11713,4.5
26765,8.3
20034,4.0
3464,-2.8
23067,-1.2
20989,1.4
8197,0.2
12752,-5.1
27615,2.9
8298,2.5
25418,7.3
19486,-1.5
25112,-2.5
4154,0.5
14279,-5.6
21037,1.2
14306,-5.3
7806,-9.1
13977,6.3
5705,-13.6
2226,-1.8
9396,-1.2
9689,2.4
23296,1.5
15364,6.0
23607,-8.6
28042,8.3
1310,-3.7
1593,0.5
8028,-12.7
11117,2.0
4206,-0.7
6561,-14.5
12557,4.2
15664,3.5
26851,9.0
20673,9.3
5140,-19.2
14327,-3.2
22116,0.9
12729,-4.5
27664,-1.0
25710,-3.7
14315,-4.6
17076,1.2
24168,1.7
23525,-7.4
19987,4.5
23276,4.7
7292,-16.0
28147,12.6
5850,-10.6
19789,1.9
17553,2.0
5865,-10.4
17175,6.3
13055,0.9
9343,0.0
13246,7.6
19859,3.0
7651,-3.2
26086,6.6
2420,-8.4
3689,-4.5
15084,-5.8
9271,1.5
16222,-2.5
23704,-9.6
24834,0.9
21885,5.7
6452,-12.4
14456,-1.5
15298,10.1
27494,13.9
6331,-6.5
24185,1.5
20046,3.0
20359,-4.8
21672,3.7
10615,-6.8
20980,1.2
21945,7.8
24989,-3.2
12319,-3.3
25304,9.9
16012,-0.2
27557,8.1
17272,3.8
25408,8.1
777,2.7
24926,-1.8
8571,-3.2
24050,4.0
13455,-3.7
12828,-6.1
28048,8.1
26969,-1.3
27772,-4.6
16475,5.0
23167,2.4
12894,-7.3
25347,9.5
39,9.93
2123,-0.7
17693,5.5
20083,0.7
24513,4.0
27274,-7.0
4916,-15.0
17117,3.3
20181,-2.3
4315,-4.5
12566,2.7
10791,-5.1
14060,-1.7
477,9.29
8359,2.2
648,10.17
1060,-8.6
26544,-8.8
12720,-4.3
17755,8.0
14838,-4.0
8474,0.0
26427,-6.6
23173,3.0
7061,-9.9
27219,-7.1
15167,4.5
2771,-0.2
8589,-3.7
3036,-6.1
15149,3.0
4141,0.9
7034,-9.3
25599,-2.2
12256,-9.6
25182,2.0
5503,-6.6
1979,-1.2
18706,-0.4
23424,-5.1
26715,6.5
769,2.7
11662,1.9
25271,8.8
2863,-0.2
13425,-2.8
26387,-5.6
20397,-4.3
13776,3.0
17758,8.1
9903,-5.6
9507,5.8
19949,4.5
24816,2.2
13469,-4.1
25564,-1.7
8394,0.0
10637,-7.0
12910,-7.0
15142,2.4
14076,-1.2
11090,3.5
14857,-3.3
21660,3.7
2884,-1.5
20824,1.0
27436,10.3
21747,2.7
2348,-5.8
8731,-6.1
19443,0.0
24305,-4.5
24411,-5.8
4119,1.4
26484,-7.4
4212,-0.8
21810,2.9
24294,-4.1
7595,-0.8
19426,0.0
22444,-5.8
9493,6.2
17122,4.0
11671,1.9
6520,-13.4
4377,-6.8
2073,-1.3
8081,-8.8
18882,-3.7
20618,9.0
13325,0.7
5798,-12.7
10104,-8.4
12586,0.4
8302,2.4
11574,-8.1
25180,1.7
24938,-2.0
12345,-1.8
24694,9.0
2511,-11.2
25419,7.3
4183,-0.4
124,9.82
20134,-0.5
18056,3.2
25918,1.5
20224,-4.0
19334,5.2
18704,-0.2
8260,2.9
9983,-7.8
12737,-4.5
15427,5.8
26693,4.5
28208,11.0
2197,-1.0
535,9.24
27143,-6.1
17917,7.6
17913,8.0
15083,-5.8
25485,2.4
3150,-3.5
15758,6.5
904,-4.6
3094,-6.1
7143,-11.7
8649,-3.5
10857,-4.6
1615,0.7
14350,-2.7
8792,-6.5
6024,-6.5
6070,-6.0
11459,-9.8
6857,-3.3
22029,5.7
21451,4.5
22234,-3.7
11071,4.0
9168,-4.3
9841,-3.2
4956,-15.9
995,-7.6
20911,0.9
20925,1.4
20492,1.4
5601,-12.6
16389,1.0
6411,-8.9
15323,9.0
5307,-12.7
10177,-2.2
9955,-7.3
279,9.68
25292,9.6
23316,-1.3
1856,1.4
11431,-9.1
26446,-7.3
20536,5.2
9855,-4.1
3663,-5.1
11918,-1.5
13847,6.0
20481,0.5
26434,-7.0
21930,7.6
11913,-1.7
17211,6.3
19454,-1.5
7166,-11.9
15903,3.2
17295,3.3
24529,4.5
26530,-8.3
7390,-7.4
20734,5.3
15268,9.8
1622,1.2
20616,9.8
7744,-6.6
24201,0.5
18876,-3.8
20462,-1.3
12373,2.0
24778,4.3
19514,-0.8
3495,-2.7
7840,-10.3
7099,-10.1
20026,4.8
3184,-2.3
20484,0.5
23115,1.0
7930,-12.1
11522,-10.6
4997,-16.7
8436,0.7
8435,0.5
17120,4.0
14802,-3.7
11863,1.9
3221,-0.7
26736,6.8
4253,-2.3
10515,-3.7
12819,-5.8
18148,2.2
12410,4.3
27307,-1.7
26677,4.3
28318,2.8
2749,-0.7
7835,-9.6
15309,9.5
11172,-1.2
18723,0.5
9781,-1.5
27955,-3.5
27723,-2.8
8943,3.8
18900,-3.8
23714,-9.3
6979,-7.6
5552,-11.6
691,2.2
6805,-3.2
3972,5.5
23033,-5.8
18670,2.2
327,9.52
13585,-5.1
674,2.9
24256,-3.2
21673,3.5
7735,-6.8
14903,-6.3
13888,7.0
14173,-3.5
26882,5.2
16726,-4.1
10684,-5.8
15996,-0.5
24583,7.3
11126,1.5
7193,-13.6
15164,4.0
10586,-6.1
19846,2.0
1828,1.0
23631,-8.9
2072,-1.3
3468,-2.8
26219,-0.2
21786,2.5
27923,-6.6
18910,-3.8
15782,6.2
1033,-8.1
19840,1.5
16324,-0.8
18371,0.0
9384,-0.2
1332,-1.2
7616,-2.2
17598,2.4
14410,-1.8
10865,-4.1
12324,-2.8
3847,-3.8
2265,-3.7
16493,6.0
12283,-8.3
25815,-7.8
18725,0.4
2024,-1.0
1586,1.0
8794,-6.1
9390,-0.7
15355,6.8
5456,-6.5
26764,8.0
14963,-7.1
23632,-8.9
25893,-0.5
18327,-3.0
4284,-3.3
2867,0.0
3766,-5.0
7238,-14.0
14138,-3.2
22258,-4.1
27814,-5.5
26033,6.5
15062,-6.6
13864,6.3
15222,8.6
5954,-9.6
1018,-7.8
9383,0.0
1287,-5.8
24090,1.2
26302,-2.7
11461,-9.6
21364,7.5
1016,-7.8
28279,4.8
12990,-7.0
22469,-1.7
8140,-3.0
9542,6.3
18681,1.4
24418,-5.5
8408,-1.2
1081,-8.8
22057,3.2
13204,9.0
23197,4.8
26389,-5.8
16933,-6.1
7012,-8.3
569,9.55
266,9.72
25331,9.6
23292,2.0
11074,4.2
23991,7.1
18027,2.5
10626,-7.1
25289,9.3
18105,3.0
19279,7.1
3516,-2.7
3949,4.2
19946,4.7
8486,-0.4
16381,0.5
249,9.7
14494,-0.2
18702,0.0
8523,-2.0
20829,0.4
7921,-11.9
24433,-3.8
12295,-6.6
24268,-3.8
9368,0.2
20355,-4.8
5605,-12.7
8044,-12.7
21378,7.1
2752,-0.7
15592,1.4
16260,-2.3
17139,5.2
14606,8.6
14834,-4.6
20583,8.1
4128,1.2
16779,-5.0
25790,-7.1
19960,4.5
15553,3.2
6059,-6.3
20148,-1.0
7995,-11.4
2539,-12.1
21062,1.2
20648,9.6
20139,-1.0
9605,7.1
25839,-7.9
6382,-7.8
25717,-3.7
1917,0.7
17209,6.3
26821,9.9
15106,-2.3
6151,-5.0
7668,-3.5
4995,-16.5
26505,-7.8
22187,-0.8
14645,8.1
1198,-9.8
26827,9.8
14401,-2.0
26264,-2.8
6426,-10.6
1883,0.9
25730,-5.6
20104,0.4
7303,-16.4
12716,-4.1
22750,-4.0
9134,-2.0
7096,-10.1
1870,1.0
17853,9.1
13870,6.6
5420,-6.8
1820,0.9
8187,0.0
1837,1.2
11670,1.9
18585,6.3
963,-6.0
10756,-5.3
10564,-5.6
26913,3.7
937,-5.6
25881,-1.3
27343,2.0
956,-6.3
435,9.45
10441,-2.3
25532,0.5
21464,4.2
21376,7.1
6025,-6.5
7029,-9.1
12229,-9.3
25610,-2.7
24020,5.2
8674,-4.1
24555,6.2
27559,8.1
9154,-3.0
11149,-0.2
71,9.93
26017,6.8
10887,-3.3
688,2.7
10443,-2.8
21593,4.5
25472,3.2
26475,-7.6
22652,4.8
16932,-6.3
26040,7.3
22770,-4.1
14859,-3.7
14014,1.2
24174,1.5
8981,4.7
14533,4.0
1094,-9.1
16991,-4.0
12078,-6.8
17601,2.4
366,9.5
17093,2.7
12367,1.2
22560,4.3
12286,-8.1
2057,-1.2
20446,-3.3
16950,-5.5
17839,9.3
11329,-7.0
8645,-3.7
24162,1.9
11596,-5.0
13490,-4.5
1463,4.8
21589,4.3
786,2.2
24164,1.9
27066,-4.6
11004,3.0
5960,-9.3
1925,0.4
23963,8.6
26291,-2.2
9449,3.3
20227,-3.8
453,9.37
21164,3.0
11257,-5.1
8740,-6.3
9587,6.3
27112,-5.6
23866,6.8
1254,-9.1
1167,-9.3
24980,-3.2
8368,0.9
8715,-5.0
10820,-5.0
21849,4.7
25743,-5.5
15377,4.5
8609,-3.7
16529,5.2
3126,-5.3
738,3.3
12459,6.5
28159,12.3
15560,3.0
25227,5.8
24528,4.8
21778,2.5
3047,-6.5
12644,-2.5
21891,6.8
18814,-2.8
14973,-7.3
1343,0.0
17920,7.3
20813,2.0
10136,-7.3
16895,-6.0
5445,-6.3
15593,1.4
24197,0.7
18883,-3.5
9991,-7.8
13161,8.5
14704,1.4
4500,-13.2
11998,-4.3
22503,2.0
1118,-7.8
25269,8.8
25071,-0.7
7626,-2.5
22626,4.0
15612,1.9
19353,2.7
10458,-1.8
27779,-4.5
3764,-5.1
23456,-6.3
4737,-10.4
8822,-1.7
11445,-9.6
26669,4.0
24615,9.1
26565,-8.4
10557,-5.3
18537,7.5
17204,6.3
28413,3.0
10284,1.7
14928,-6.8
18659,3.0
27935,-6.8
23382,-3.5
2513,-11.2
11496,-10.3
4193,-0.7
19790,1.9
16000,-0.8
8390,0.0
21203,4.2
5482,-6.5
24333,-3.7
20597,8.6
18101,2.9
23518,-7.3
3333,1.9
10211,0.0
7961,-12.2
1220,-9.8
12323,-3.0
23241,4.5
6064,-6.3
18286,-3.2
10926,-0.5
21515,4.0
20844,0.5
2557,-12.6
14106,-2.3
12839,-6.1
16721,-4.1
7126,-11.4
24029,4.5
22734,-3.3
2001,-1.7
11281,-5.3
3911,2.7
24611,8.6
10270,1.7
11189,-1.8
18555,6.2
16864,-5.5
10496,-3.0
9960,-7.4
4278,-3.2
4309,-4.3
20119,0.7
19798,2.5
15350,7.1
6835,-2.8
25856,-6.3
10480,-2.5
15580,2.7
21102,1.7
13709,-5.3
16937,-6.0
14090,-2.3
8127,-4.8
6052,-6.3
12024,-5.3
22931,-9.1
9638,5.3
21715,3.0
22341,-6.0
15148,2.9
27981,1.7
26639,1.9
27701,-2.2
4640,-12.1
17468,2.5
17640,1.4
22268,-4.5
3018,-6.3
8660,-3.2
18920,-3.8
28369,2.7
21766,2.5
21554,4.5
2558,-12.6
8111,-5.8
5309,-12.7
10788,-5.1
9566,6.8
23583,-8.3
3708,-4.5
15331,8.6
8356,2.2
15129,0.4
13912,7.5
12065,-6.6
11026,4.0
675,3.0
14180,-4.1
20107,0.0
25203,4.0
25860,-5.8
18618,5.2
19463,-1.7
13446,-3.8
26626,0.7
28357,3.0
14108,-2.5
5128,-18.8
23539,-7.8
15998,-0.8
11611,-3.0
15470,6.0
22281,-5.1
487,9.27
23108,1.2
27641,0.4
