,r_humidity_2h
2714,53.9
23926,34.5
22788,57.2
24078,58.3
26312,61.0
11218,61.0
20787,60.9
1046,99.9
481,9.99
4483,53.0
6000,88.8
17759,59.0
4011,54.8
12094,99.9
20048,60.7
14457,99.9
19871,71.3
20765,54.4
20602,35.0
1180,99.9
743,43.8
15053,99.9
6116,91.7
18317,99.9
11419,97.1
13473,97.3
16001,99.9
25065,95.7
7160,68.0
16249,99.9
4819,31.8
25390,22.8
13751,93.2
19653,86.2
13921,41.4
10183,68.0
21610,56.7
626,8.09
3361,54.0
8521,61.2
10272,39.0
24444,92.0
27197,99.9
12639,87.0
23134,31.1
25406,24.9
7097,56.1
23954,33.1
20628,31.6
6726,57.8
16799,99.9
3345,51.0
3792,95.2
10495,65.1
281,9.91
19438,68.5
19193,41.8
18575,38.4
23852,32.6
14997,99.9
23694,99.9
17434,80.3
2258,25.7
148,8.06
12673,94.7
21271,52.6
17970,66.7
12774,99.9
19611,88.9
1511,56.2
11514,99.9
10009,99.9
28400,88.7
28252,61.0
7109,61.6
8068,99.9
14779,85.1
9910,87.9
14734,64.6
9878,74.8
12467,47.9
2247,24.0
4485,52.1
4607,29.5
3231,50.1
2157,24.1
5822,73.7
19180,40.9
8248,58.4
3904,61.6
10124,99.9
1623,75.5
238,9.28
14224,99.9
15496,57.5
13289,51.4
20963,75.5
11471,99.9
5372,42.7
22563,18.1
23486,90.2
2515,99.9
11282,65.5
25631,79.3
3889,68.4
5001,70.5
27028,79.4
20466,93.6
16219,99.9
21430,63.0
18026,84.0
5918,86.1
21003,74.0
24657,32.9
22808,54.7
4602,30.5
23077,43.0
5778,82.3
25416,29.6
5177,95.0
7872,97.5
24722,43.1
7516,41.4
16575,91.4
24935,95.6
18792,76.4
22237,85.0
13636,99.9
20036,57.8
25409,27.8
23182,25.9
11875,46.6
22390,99.9
22430,99.9
25782,98.8
25859,99.9
8422,88.7
13175,37.9
24782,54.6
27270,99.9
28290,76.4
11829,37.8
20504,70.0
10395,30.0
4301,68.1
1720,75.3
11850,40.9
13292,51.6
12168,99.9
14851,83.0
3458,75.3
6231,99.9
16046,99.9
1808,99.9
5074,71.8
5234,97.8
12368,69.7
8454,77.8
12150,99.9
23284,19.3
5078,71.2
22655,19.8
2120,29.3
13645,99.9
9505,38.7
6668,99.9
16143,99.9
4615,31.0
22646,19.5
19930,54.5
28022,43.9
6621,99.9
5028,58.9
17457,82.2
10606,94.1
18856,86.5
19292,40.4
3161,61.7
5928,91.8
26925,52.4
14896,99.4
18606,44.5
2338,52.6
8626,73.3
12936,99.9
20263,99.9
17906,52.6
695,50.3
17333,76.4
19195,45.6
18189,90.6
15357,43.1
10823,89.9
17176,61.8
3491,81.3
824,47.1
15513,59.6
7566,33.5
13992,54.6
16181,99.9
24719,40.8
13151,43.1
6614,99.9
12961,99.9
17861,53.3
23889,34.2
9775,55.6
19683,89.3
18830,85.5
11831,37.1
11337,83.5
1941,62.1
24737,46.4
5701,80.8
20001,55.0
18336,99.9
5443,32.5
10770,85.2
25412,29.6
23311,43.2
732,46.0
27267,99.9
21489,59.7
8196,64.5
26726,25.9
164,8.37
18816,81.3
15546,90.2
17481,82.8
2122,26.7
11605,81.8
18524,46.7
1694,73.4
3835,99.9
15160,50.4
16098,99.9
16126,99.9
16337,99.9
1762,95.2
8372,95.9
5242,97.0
596,9.63
12628,87.3
9496,43.8
19572,86.0
24521,51.9
8276,58.1
8141,65.7
18455,64.3
7791,93.0
21318,48.5
1048,99.9
3299,47.1
22548,22.3
12493,51.7
24357,97.2
19750,80.7
22768,48.8
21043,75.9
10396,31.5
7617,43.8
11790,36.6
17877,49.1
7329,99.4
13732,99.9
20073,71.0
28001,55.1
22063,39.9
21888,65.8
7332,99.2
14374,99.9
17257,65.7
15321,36.7
26562,99.9
17685,77.9
15743,86.5
1492,54.1
21291,47.7
23367,58.5
23645,99.9
27841,99.9
13320,61.9
21358,45.6
12300,99.9
28337,88.1
14500,99.9
4198,66.6
4749,32.4
15266,38.1
17498,83.9
23687,99.9
22739,47.0
10574,82.7
2589,99.9
8053,99.9
8499,70.2
9453,86.5
14663,30.2
25653,83.8
27362,48.5
24083,59.1
