,surface_tmp_2h
2714,10.0
23926,27.6
22788,-1.9
24078,8.8
26312,1.1
11218,0.7
20787,9.7
1046,-4.5
481,-4.1
4483,-7.7
6000,-0.4
17759,14.1
4011,14.4
12094,-3.8
20048,7.9
14457,2.4
19871,11.1
20765,10.6
20602,26.6
1180,-6.1
743,16.1
15053,-4.3
6116,1.3
18317,-0.7
11419,-4.9
13473,-0.9
16001,0.3
25065,2.6
7160,-9.0
16249,0.4
4819,-2.2
25390,22.2
13751,0.3
19653,2.8
13921,14.8
10183,1.2
21610,6.4
626,8.0
3361,7.0
8521,-3.1
10272,13.6
24444,-0.2
27197,-2.0
12639,2.7
23134,19.1
25406,18.7
7097,-7.9
23954,25.3
20628,27.4
6726,3.6
16799,-2.4
3345,8.2
3792,-2.5
10495,0.7
281,0.0
19438,4.6
19193,23.8
18575,22.1
23852,24.1
14997,-4.0
23694,-5.1
17434,4.9
2258,2.4
148,3.4
12673,1.0
21271,11.6
17970,9.8
12774,-2.2
19611,2.8
1511,8.6
11514,-6.5
10009,-5.0
28400,8.0
28252,14.8
7109,-8.0
8068,-8.3
14779,1.0
9910,-3.1
14734,3.4
9878,-2.5
12467,20.4
2247,3.4
4485,-7.8
4607,-2.2
3231,7.5
2157,15.9
5822,-6.5
19180,23.9
8248,13.3
3904,6.6
10124,-5.3
1623,3.6
238,0.8
14224,-1.9
15496,6.5
13289,9.5
20963,5.0
11471,-5.9
5372,8.3
22563,18.8
23486,-1.2
2515,-7.1
11282,-2.1
25631,0.8
3889,3.8
5001,-10.7
27028,2.7
20466,3.4
16219,0.0
21430,8.4
18026,7.1
5918,-5.2
21003,4.7
24657,25.6
22808,-2.4
4602,-3.0
23077,6.0
5778,-8.2
25416,16.9
5177,-13.1
7872,-6.9
24722,15.7
7516,14.2
16575,5.9
24935,2.3
18792,1.9
22237,-0.2
13636,-2.8
20036,9.5
25409,18.0
23182,25.6
11875,5.3
22390,-2.8
22430,-3.3
25782,-2.7
25859,-2.6
8422,0.0
13175,21.0
24782,9.0
27270,-3.0
28290,11.4
11829,11.2
20504,10.8
10395,10.2
4301,-0.7
1720,1.8
11850,8.1
13292,9.3
12168,-4.9
14851,-1.6
3458,1.1
6231,-1.6
16046,-1.0
1808,1.2
5074,-11.8
5234,-13.2
12368,8.2
8454,-1.1
12150,-4.6
23284,14.0
5078,-11.9
22655,24.2
2120,15.2
13645,-3.1
9505,12.3
6668,-6.4
16143,-2.5
4615,-0.8
22646,24.1
19930,14.0
28022,15.9
6621,-10.7
5028,-11.2
17457,4.5
10606,-3.0
18856,0.4
19292,20.0
3161,0.7
5928,-4.6
26925,8.7
14896,-2.8
18606,15.6
2338,-2.5
8626,-5.0
12936,-4.3
20263,-1.5
17906,15.0
695,17.3
17333,6.6
19195,22.8
18189,3.5
15357,11.3
10823,-2.2
17176,15.4
3491,0.2
824,4.7
15513,6.3
7566,12.2
13992,8.9
16181,-0.4
24719,16.1
13151,21.7
6614,-10.8
12961,-4.7
17861,16.8
23889,27.2
9775,1.3
19683,2.7
18830,0.8
11831,10.7
11337,-3.4
1941,-1.7
24737,13.3
5701,-7.8
20001,12.5
18336,-1.1
5443,11.5
10770,-2.5
25412,17.4
23311,10.1
732,17.1
27267,-2.8
21489,7.4
8196,9.5
26726,27.7
164,2.8
18816,1.3
15546,5.7
17481,4.6
2122,15.3
11605,-0.8
18524,24.0
1694,1.9
3835,-3.2
15160,8.7
16098,-2.0
16126,-2.3
16337,5.5
1762,1.6
8372,3.2
5242,-13.1
596,2.8
12628,3.4
9496,10.7
19572,2.7
24521,16.5
8276,11.6
8141,2.1
18455,16.4
7791,-5.0
21318,12.3
1048,-4.6
3299,9.1
22548,16.1
12493,17.2
24357,-1.3
19750,3.3
22768,-1.3
21043,4.7
10396,9.9
7617,3.6
11790,17.4
17877,18.7
7329,-11.8
13732,-1.5
20073,5.6
28001,10.4
22063,8.0
21888,20.1
7332,-11.8
14374,-0.8
17257,9.8
15321,15.4
26562,-3.8
17685,6.2
15743,11.8
1492,10.8
21291,12.2
23367,4.2
23645,-4.4
27841,-0.7
13320,6.7
21358,11.2
12300,-3.1
28337,9.2
14500,7.5
4198,2.7
4749,8.4
15266,21.0
17498,4.3
23687,-5.0
22739,-0.5
10574,-2.3
2589,-8.8
8053,-8.7
8499,-2.4
9453,3.1
14663,13.5
25653,0.3
27362,13.8
24083,8.5
26815,26.6
19678,2.7
10585,-2.6
24751,11.6
19099,8.3
1207,-6.2
5106,-12.2
24348,-1.2
7333,-11.9
23847,22.7
27997,9.3
22324,-2.1
26698,23.9
3680,-2.2
12305,-2.3
14497,7.0
558,-3.1
4558,-9.1
2289,-0.1
12643,2.5
22396,-3.0
11751,19.5
22143,2.9
13263,13.0
4269,0.1
18752,3.4
11079,18.5
14883,-2.4
792,8.8
15886,5.0
26796,29.3
27758,1.4
4751,8.0
4503,-8.3
24604,27.8
18393,5.3
14439,1.2
22875,-3.6
21321,12.3
19065,1.7
15550,5.5
18120,5.8
9480,7.5
11340,-3.6
25847,-3.1
19355,10.3
20862,4.8
16952,-3.1
26977,5.1
15462,7.0
26245,4.3
14105,1.0
28031,18.1
14876,-2.3
16179,-0.5
7678,-1.3
19141,16.4
5437,11.8
787,9.4
20033,9.7
11190,2.4
6012,0.1
10372,13.4
1900,-1.2
26425,-2.0
10504,0.3
12004,-1.7
25443,12.6
9674,11.9
14390,-0.4
11677,13.7
21837,9.1
7291,-11.4
3514,-0.2
27781,0.7
16807,-2.4
1658,3.1
13054,4.5
25239,17.8
6917,-1.6
11028,19.7
3043,-2.4
15012,-4.2
19431,4.9
2789,16.4
16987,-0.9
1054,-4.8
1277,-4.5
10249,11.5
27880,-1.6
28356,8.3
7111,-8.1
12923,-4.3
20723,14.8
14193,-1.3
2221,6.7
21612,6.4
12072,-3.3
27195,-2.0
1540,6.7
22393,-3.0
19276,19.2
11201,1.9
6138,0.8
26949,6.8
22841,-3.1
18553,20.2
5290,-5.2
20199,0.1
10264,12.9
3923,10.1
10090,-5.6
27598,9.3
9532,16.2
26100,22.5
19821,6.3
18756,3.3
17340,6.3
7919,-7.5
28344,9.1
2527,-8.1
10677,-2.9
17610,2.9
23988,17.9
28081,28.2
11713,19.0
26765,30.2
20034,9.5
3464,1.1
23067,3.7
20989,4.8
8197,9.4
12752,-1.6
27615,8.4
8298,8.8
25418,16.7
19486,3.3
25112,1.0
4154,4.9
14279,-2.9
21037,4.6
14306,-3.3
7806,-5.3
13977,10.8
5705,-7.9
2226,6.4
9396,-1.6
9689,8.9
23296,12.1
15364,10.5
23607,-3.7
28042,20.4
1310,1.2
1593,3.8
8028,-8.4
11117,10.8
4206,2.4
6561,-9.7
12557,10.4
15664,11.5
26851,18.6
20673,21.3
5140,-12.7
14327,-1.9
22116,4.1
12729,-1.1
27664,5.2
25710,-1.1
14315,-2.8
17076,8.8
24168,6.6
23525,-2.2
19987,13.7
23276,15.4
7292,-11.4
28147,32.1
5850,-6.2
19789,5.1
17553,4.0
5865,-5.9
17175,15.6
13055,4.7
9343,0.0
13246,14.8
19859,8.9
7651,0.3
26086,26.3
2420,-5.0
3689,-2.2
15084,-4.1
9271,1.6
16222,0.0
23704,-5.0
24834,6.0
21885,18.7
6452,-7.2
14456,2.2
15298,18.8
27494,32.0
6331,-2.9
24185,6.0
20046,8.2
20359,-2.0
21672,5.4
10615,-3.2
20980,4.8
21945,25.4
24989,1.1
12319,-0.1
25304,27.7
16012,-0.1
27557,14.9
17272,9.0
25408,18.4
777,10.8
24926,2.7
8571,-4.0
24050,10.6
13455,-0.2
12828,-2.9
28048,21.7
26969,5.5
27772,0.9
16475,14.9
23167,24.2
12894,-4.0
25347,27.8
39,11.1
2123,15.5
17693,7.1
20083,4.9
24513,14.7
27274,-2.9
4916,-8.8
17117,13.8
20181,0.7
4315,-1.2
12566,9.3
10791,-2.4
14060,3.1
477,-3.9
8359,4.3
648,12.1
1060,-4.9
26544,-4.0
12720,-0.8
17755,13.5
14838,-1.1
8474,-1.8
26427,-2.0
23173,24.7
7061,-7.0
27219,-2.6
15167,10.5
2771,16.4
8589,-4.1
3036,-2.5
15149,6.9
4141,5.3
7034,-6.4
25599,1.9
12256,-5.9
25182,5.6
5503,2.1
1979,-1.2
18706,5.5
23424,1.0
26715,26.6
769,12.2
11662,10.6
25271,24.0
2863,7.6
13425,0.9
26387,-1.1
20397,-1.5
13776,6.8
17758,13.9
9903,-3.0
9507,12.6
19949,14.2
24816,6.9
13469,-0.6
25564,3.5
8394,2.0
10637,-3.0
12910,-4.3
15142,5.5
14076,2.4
11090,16.8
14857,-1.7
21660,5.4
2884,4.8
20824,6.7
27436,29.6
21747,4.9
2348,-2.9
8731,-6.0
19443,4.1
24305,-0.4
24411,-2.1
4119,6.9
26484,-3.0
4212,2.3
21810,6.3
24294,0.0
7595,6.6
19426,5.5
22444,-3.0
9493,10.3
17122,14.0
11671,12.5
6520,-9.1
4377,-3.1
2073,10.9
8081,-7.5
18882,-0.1
20618,27.0
13325,6.4
5798,-7.2
10104,-5.5
