,dewpoint_2h
2714,-11.320254346707216
23926,-6.3033012385872995
22788,-12.171308137134172
24078,-5.341273651004162
26312,-9.473634158355447
11218,-10.420547325134493
20787,-3.629484504629549
1046,-8.312877661243027
481,-20.89129973138279
4483,-20.21537957572052
6000,-8.634596761003648
17759,0.7480370410492053
4011,-3.5398268101297905
12094,-7.412976560700552
20048,-3.862517485999045
14457,-1.3136568504193893
19871,-1.0186674779300178
20765,-4.571165404659871
20602,-5.671224498299805
1180,-9.612735474330787
743,-7.8715232269533475
15053,-6.5130758384559835
6116,-6.141395077721658
18317,-3.813375941507313
11419,-9.276266741651263
13473,-4.464479346035327
16001,-0.8137133824763078
25065,-1.4009675841618008
7160,-16.61502438163792
16249,-2.513521649855965
4819,-25.543354616521807
25390,-11.604506444014875
13751,-2.951991386984932
19653,-2.228544573004056
13921,-4.79619210823796
10183,-6.8355757458412185
21610,-2.707309679503752
626,-22.743424639015444
3361,-6.814777194069372
8521,-8.674264426618299
10272,-10.981940529296224
24444,-2.928223472445655
27197,-7.013020637443981
12639,-3.5799986614014614
23134,-13.443364802816214
25406,-10.667767576078301
7097,-17.203434001903606
23954,-7.1971376553296125
20628,-5.868881166616545
6726,-10.911398404129203
16799,-5.113231022444888
3345,-7.1866062788302445
3792,-4.654776887962154
10495,-8.450995284272787
281,-20.666417147696585
19438,-4.439696690222796
19193,-5.483499659436878
18575,-5.968776549444677
23852,-9.06837256132182
14997,-7.113009611252607
23694,-9.612735474330787
17434,-0.3564121141234671
2258,-20.252090849545127
148,-22.937096743145148
12673,-4.426476699665439
21271,-2.6935072104151847
17970,0.07718785862283392
12774,-5.513186590755566
19611,-1.8100285298918035
1511,-4.231627171358108
11514,-10.312659239071847
10009,-8.312877661243027
28400,1.3160004859758538
28252,0.4561314635721401
7109,-16.84311929570935
8068,-11.612518266451346
14779,-5.1521403043863625
9910,-7.680778146308737
14734,-5.883200323966963
9878,-8.104226673736866
12467,-3.490234301927623
2247,-20.785572280526928
4485,-20.413854244779166
4607,-27.074233936610426
3231,-9.361688847054321
2157,-18.509297583365488
5822,-14.96939247752166
19180,-5.770088827466947
8248,-4.848092577542429
3904,-4.612348103613548
10124,-8.412866695766148
1623,-2.460601213219934
238,-21.422596975716306
14224,-4.313320109999687
15496,-2.0487506046158974
13289,-5.878874470124627
20963,-2.6543381749779056
11471,-10.112680997222636
5372,-20.226462505616784
22563,-17.517080116280315
23486,-8.433645416167199
2515,-11.212561558575851
11282,-10.758208216635255
25631,-5.3995122278385566
3889,-4.267500940715191
5001,-21.000248522933568
27028,-6.260032679815987
20466,-1.7032189026137547
16219,-2.513521649855965
21430,-1.6567116287966277
18026,-0.02917742395633888
5918,-12.178467672109425
21003,-2.6349620983565387
24657,-5.778206010229081
22808,-12.53918203766932
4602,-26.887124192021872
23077,-11.750331959930332
5778,-15.089316966028145
25416,-9.163135815472078
5177,-19.898231720935012
7872,-10.420470614778713
24722,-4.624792415924508
7516,-13.130588043287954
16575,-1.6304285146220312
24935,-3.1066352582147525
18792,-5.307744383620507
22237,-5.462293595557562
13636,-5.31320879725955
20036,-3.8570705467373463
25409,-9.529344097408774
23182,-14.726992850074351
11875,-8.720467619709838
22390,-6.0131311562265255
22430,-6.613064788912897
25782,-7.157018272590491
25859,-6.0131311562265255
8422,-1.6433336380793473
13175,-4.7978507964171015
24782,-4.148936740017237
27270,-6.613064788912897
28290,0.9969004656476236
11829,-8.86290640152427
20504,-1.9423107316814632
10395,-13.623382651248171
4301,-8.828725559179443
1720,-2.01228209893694
11850,-9.115057749383901
13292,-6.013453076421263
12168,-8.11289960620783
14851,-5.2861016368144735
3458,-6.2741145833261465
6231,-6.5130758384559835
16046,-2.71349918181331
1808,0.6861163208046666
5074,-21.1759838192569
5234,-19.55984298985907
12368,-3.7284704733034255
8454,-3.0261980580638883
12150,-7.812932558682637
23284,-17.836095790561444
5078,-21.465466032605487
22655,-16.52903045664163
2120,-16.534248820005352
13645,-5.513186590755566
9505,-7.303218936600518
6668,-9.412757297866511
16143,-4.61328666713912
4615,-25.913031243934512
22646,-17.296279057064435
19930,-4.173372451955654
28022,-5.5640702694948585
6621,-15.512100084335954
5028,-23.14623332897584
17457,-0.3276232305917364
10606,-7.788816424545487
18856,-5.625012128390843
19292,-4.5789166532464245
3161,-9.328138507123024
5928,-11.377604121264575
26925,-6.741186708966363
14896,-6.1788962229987145
18606,-5.932454672765785
2338,-13.769861285451775
8626,-8.55837389940375
12936,-7.412976560700552
20263,-5.013242142043061
17906,-0.6499506138131688
695,-6.625513257074021
17333,-0.7484933990964722
19195,-4.4223423857241935
18189,-0.3656243977487124
15357,-5.0790748503061804
10823,-6.401002162637672
17176,-0.4986033611121623
3491,-5.461332537661916
824,-10.606619430764935
15513,-1.7496332678941589
7566,-14.9173040719957
13992,-4.055575582336697
16181,-2.513521649855965
24719,-4.989599390553728
13151,-3.716482715625893
6614,-16.01204698498464
12961,-7.812932558682637
17861,-0.18939310817302885
23889,-7.214202499126882
9775,-9.430616150004024
19683,-1.748988209460186
18830,-5.286668895031585
11831,-9.191575384091216
11337,-9.617913728459127
1941,-6.400615366065535
24737,-4.832199597942768
5701,-15.996614391756214
20001,-3.5844287587530737
18336,-3.813375941507313
5443,-19.97656029032109
10770,-7.10132603238595
25412,-8.901723030634926
23311,-11.692329204998439
732,-7.603237997910599
27267,-7.013020637443981
21489,-2.0096540510086998
8196,-5.522757511627949
26726,-11.973935490575773
164,-22.524366927760628
18816,-5.559049105500672
15546,2.044242110891564
17481,-0.12963234756274236
2122,-17.555917067805908
11605,-6.651715283306682
18524,-4.379947825890287
1694,-2.5517051086056366
3835,-5.613175494509079
15160,-5.859055194530496
16098,-3.813375941507313
16126,-4.313320109999687
16337,-0.8137133824763078
1762,-0.17961825499058934
8372,-0.17816684999553628
5242,-18.858175422835536
596,-20.904376622968027
12628,-4.026321358897576
9496,-5.229916971197585
19572,-2.75157093825656
24521,-4.08051082663122
8276,-4.5401390221009645
8141,-8.714803801371962
18455,-1.4734759230842032
7791,-9.03200585437753
21318,-3.0470780097928696
1048,-8.312877661243027
3299,-8.675431283319666
22548,-15.264206069698586
12493,-3.3898925047087163
24357,-5.375310238719091
19750,-2.044695304261225
22768,-13.299860551966919
21043,-2.3891395488720644
10396,-13.197898209520671
7617,-12.889216313467564
11790,-8.918171475075189
17877,-0.3016265886189456
7329,-16.47218919071507
13732,-3.3134318897732564
20073,-3.4809954894512627
28001,-3.933895165759706
22063,-9.431050722299943
21888,0.3662821835518124
7332,-16.59625390607124
14374,-2.013577901693343
17257,-0.7029783388538472
15321,-5.045334967444219
26562,-8.612844778823426
17685,1.4620215742843052
15743,3.6215187346652993
1492,-3.991726954930877
21291,-3.5463075909930137
23367,-10.476980177713584
23645,-8.912811938436962
27841,-6.0131311562265255
13320,-5.116225354011194
21358,-3.5080998233164595
12300,-6.0131311562265255
28337,1.4184874894241657
14500,0.3861504642142309
4198,-6.150767072983721
4749,-23.560093974590348
15266,-3.8327540862509752
17498,0.052409044877810514
23687,-9.412757297866511
22739,-13.486087134216907
10574,-7.781732502815152
2589,-13.112356586510653
8053,-12.912378083121386
8499,-5.17033360906548
9453,1.7530097107246556
14663,-9.34317807697516
25653,-5.845714029329032
27362,-5.7178971519961825
24083,-5.6324990177342436
26815,-10.30936505210409
19678,-1.8554886596620608
10585,-7.779365805042452
24751,-4.009589489038908
19099,-5.155542781060767
1207,-9.612735474330787
5106,-21.04037441323747
24348,-5.603559163831972
7333,-16.59625390607124
23847,-10.87070632309742
27997,-3.2948439083911385
22324,-5.613175494509079
26698,-13.620114288016698
3680,-4.539928953326617
12305,-5.113231022444888
14497,-0.013804076624150658
558,-20.813775861751807
4558,-20.859587252198306
2289,-17.20358783101227
12643,-4.033449091218009
22396,-6.0131311562265255
11751,-7.749861948750593
22143,-7.328485030807017
13263,-6.214285969985559
4269,-8.387658770414722
18752,-5.1243715026321235
11079,-13.677921014151563
14883,-5.798874455327892
792,-9.292120242426801
15886,1.008731020632096
26796,-7.564543153839524
27758,-5.3511904133362735
4751,-24.949682913920075
4503,-19.91319738114524
24604,-6.594582151241688
18393,-0.7317519268192118
14439,-1.713611708839694
