,weather_2h
15594,1
18531,0
5579,0
13346,0
134,0
4796,0
19854,0
7721,0
5325,0
21762,4
14635,0
1986,0
19696,0
20920,4
13506,4
11809,0
21843,0
16350,4
15541,1
19671,0
28361,0
17430,0
14364,4
27397,0
10936,0
23229,0
9372,4
4353,0
17728,0
16875,4
2079,0
27798,0
11435,0
25120,4
23461,0
15107,0
15132,0
3906,0
10986,0
14391,4
12678,4
6993,0
18697,0
11561,0
11527,0
12947,4
25029,4
7467,0
10786,0
17014,4
3418,0
24843,0
15434,0
12002,0
18738,0
24692,0
20225,0
9875,0
4132,0
608,4
23509,0
23144,0
20288,4
15523,0
5253,0
11434,0
24624,0
23665,0
4806,0
11530,0
20638,0
16446,4
26765,0
5627,0
9937,0
20248,0
21611,4
18046,0
14081,4
13702,4
8690,0
14112,4
21994,0
8019,0
9666,0
14609,0
28295,0
15615,0
18913,0
8528,0
11803,0
18087,0
4168,0
14701,0
27019,0
2613,0
11479,0
24026,0
9027,0
71,0
2568,0
7638,0
22994,0
5016,0
5669,0
20021,0
11580,0
14066,0
18610,0
4797,0
18291,4
23966,0
8939,0
160,0
13923,0
6605,4
7718,0
22719,0
19927,0
22064,0
8753,0
10831,0
21298,0
17941,0
1913,0
15905,0
26653,0
7826,0
7921,0
15896,0
1122,4
1190,4
26153,0
11186,0
25706,0
8883,0
14855,0
24918,0
24408,0
1694,0
22414,0
23515,0
6548,4
24473,0
28150,0
1375,0
17739,0
3780,0
12441,0
1985,0
12975,4
6748,0
3405,0
5400,0
23236,0
13419,0
27876,0
24088,0
13386,0
27130,0
12557,0
861,0
21103,4
22914,0
2261,0
6289,0
13052,4
17948,0
2166,0
5361,0
20898,4
19292,0
27449,0
2266,0
23641,0
26522,0
17986,0
7685,0
10815,0
3082,0
11203,0
23883,0
27373,0
4427,0
1766,0
12657,4
7756,0
7182,0
9101,0
26067,0
8931,0
16579,4
19559,0
25562,0
8550,0
15007,4
27268,0
26325,0
21381,0
3108,0
27946,4
8437,0
11371,0
23617,0
14457,4
5289,0
4337,0
8565,0
4460,0
22194,0
15265,0
19462,0
4489,0
14788,0
17175,4
23486,0
10987,0
19249,0
24107,0
5520,0
6909,0
4242,0
15576,1
3957,0
18815,0
1255,4
20894,0
10359,0
2281,0
14897,0
5184,0
997,0
22979,0
7196,0
25771,0
22675,0
20037,0
8590,0
8147,0
27124,0
2719,0
27478,0
26488,0
13994,0
13574,4
19550,0
20343,4
15148,0
7342,0
17997,0
14377,4
6860,0
11633,0
20547,0
17355,4
11476,0
558,4
9264,0
2108,0
13925,0
23965,0
12434,0
22579,0
9752,0
15944,0
7580,0
20033,0
28137,0
11,0
1254,4
16898,4
4900,0
5648,0
17143,4
20879,4
12323,4
5411,0
5622,0
20476,0
11898,0
12553,0
23012,0
25841,0
24719,0
5340,0
10835,0
6105,2
3609,0
22513,0
800,0
24857,0
25433,1
27072,0
3999,0
10187,0
13699,4
5594,0
25703,0
16861,4
18056,0
26473,0
6901,0
21299,0
22805,0
2726,0
5512,0
6686,4
8587,0
24010,0
15980,4
1592,0
6060,2
19581,0
14053,0
3648,0
7089,0
28355,0
19291,0
16210,4
6801,0
19115,0
6371,4
10276,0
16543,0
1164,4
18451,0
21092,0
4860,0
24193,0
8264,0
17499,0
20536,0
5963,4
6517,4
7589,0
3162,0
13132,4
14645,0
3858,0
22813,0
14100,4
21163,0
24847,0
20297,4
10255,0
18434,0
812,0
10316,0
849,0
457,4
11189,0
7204,0
8644,0
16693,4
5702,0
20690,0
1240,4
14695,0
21534,4
26027,0
24425,0
24176,0
14688,0
19679,0
23178,0
23689,0
16135,4
24472,0
22312,0
25715,0
14943,4
12707,4
1805,4
22102,0
8079,0
3706,0
4683,0
27107,0
24318,0
13057,4
23563,0
6276,0
2178,0
13674,4
22113,0
1941,0
28116,0
3438,0
10456,0
7556,0
24281,0
16648,4
20642,0
1068,4
18356,4
25047,0
14756,0
18168,0
20341,4
26676,0
26454,0
27754,0
17679,1
20189,0
12425,0
1264,4
1226,4
9771,0
15682,1
26210,0
2204,0
3407,0
13739,4
10297,0
18469,0
24683,0
18694,0
25909,0
2723,0
27074,0
10414,0
8174,0
20320,4
13617,4
9585,0
10747,0
25847,0
18331,4
26303,0
12568,0
11670,0
16424,4
8416,0
16819,4
23567,0
5537,0
13305,0
28352,0
13660,4
6441,4
10892,0
16315,4
11553,0
20810,0
6359,4
12696,4
