acquisition_time,error_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,uva,uvb
20230717184335.432457,0,2.5,0.0,24.44,88.24,999.26,142,0,3,0
20230717184502.252749,0,3.81,163.5,24.4,87.4,999.27,142,0,3,0
20230717184602.367271,0,0.88,0.0,24.4,86.17,999.3,142,0,3,0
20230717184651.547599,0,1.15,0.0,24.38,85.41,999.25,142,0,3,0
20230717184751.743336,0,1.14,0.0,24.26,84.85,999.26,142,0,3,0
20230717184851.841492,0,0.87,0.0,24.3,84.42,999.23,142,0,3,0
20230717184951.963414,0,1.54,0.0,24.26,85.58,999.24,142,0,3,0
20230717185052.136048,0,1.08,0.0,24.28,86.55,999.24,142,0,2,0
20230717185152.213120,0,1.63,0.0,24.22,86.9,999.28,142,0,2,0
20230717190653.827713,0,1.62,0.0,24.28,85.71,999.31,142,0,4,0
20230717190753.937627,0,1.55,0.0,24.26,86.39,999.31,133,0,3,0
20230717190854.050492,0,2.6,0.0,24.16,86.88,999.32,142,0,3,0
